20 RGB 659 166 0 2 424 3047 225 1291 0 210 721 3419 0 662 2282 1724 0 0 0 66 27 928 2232 7566 0 0 7 1305 0 9 805 4151 0 0 0 0 0 0 0 4 0 1 109 3182 0 0 8 1920 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2848
21 RGB 5 4761 18 11377 285 269 32 524 11 555 327 184 11 73 393 267 0 0 8 288 213 1580 9 205 0 1 2 0 0 920 141 5832 0 0 0 0 0 1 0 3019 0 1049 1432 549 0 148 933 1630 0 0 0 0 0 0 0 0 0 0 1 130 0 0 232 2585
22 RGB 2820 852 38 22 12 681 955 83 0 6 605 943 1 1069 1980 728 0 0 0 0 1 1060 477 1386 0 0 663 51 0 5 1339 1875 0 0 0 0 0 0 0 5 0 1 1065 5591 0 0 2094 6279 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7313
23 RGB 2441 1572 50 17 355 3265 1377 268 32 495 2846 1228 246 887 758 1801 0 38 137 753 1119 2949 83 1342 1 45 234 118 204 1394 632 3431 2 12 6 0 2 136 54 1324 9 491 904 1192 2 384 899 1882 0 0 0 0 0 0 0 14 0 33 220 350 0 72 316 1578
24 RGB 2850 2037 271 151 324 2934 1755 710 53 387 1578 916 245 1256 561 1149 41 26 99 646 1000 1680 91 1251 16 95 253 96 236 1491 492 4419 0 11 9 5 4 113 29 1291 6 663 1001 1375 3 469 1052 1958 0 0 0 0 0 0 0 17 0 4 105 299 0 74 510 1893
25 RGB 688 44 0 0 285 518 24 372 9 397 409 453 2 959 534 471 0 0 55 547 582 2555 558 625 0 0 35 0 94 805 1619 4131 0 0 0 0 0 0 13 1130 0 942 2983 2242 0 701 1428 3792 0 0 0 0 0 0 0 0 0 0 109 1009 0 0 3033 5847
26 RGB 50 306 127 39 2 1167 1233 357 0 8 989 1245 451 1604 39 774 0 0 0 16 524 2032 257 2212 0 4 905 301 0 153 1061 3823 0 0 0 0 0 0 0 28 0 99 712 3826 0 5 846 9864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4941
27 RGB 0 7 3 0 0 3 192 72 0 0 6 479 3 2112 0 4 0 0 0 0 0 351 1 971 0 1 844 7 0 50 1162 2090 0 0 0 0 0 0 0 0 0 2 2220 6426 0 0 5719 4282 0 0 0 0 0 0 0 0 0 0 0 761 0 0 8056 4176
28 RGB 15 0 0 0 1826 56 0 0 2449 1434 3 0 446 1336 779 206 125 305 675 1304 54 372 330 1468 18 86 94 476 5 1825 1360 1889 0 34 167 300 7 1580 4042 3031 0 3 221 158 41 482 728 2442 0 0 25 184 47 257 37 814 0 58 536 608 530 1859 627 2246
29 RGB 439 1957 25 0 1 1771 3179 2286 0 297 1340 3378 0 4096 275 2039 0 0 74 468 63 4844 1033 740 0 0 0 65 360 1965 1065 1310 0 0 0 0 37 278 167 2261 0 129 126 46 2 308 233 1032 0 0 0 0 0 0 0 7 0 364 229 442 0 155 605 509
